Name,Salary,Year Hired
Elena Daniel,73556,1977
Bernice Mann,50484,2013
Spencer Bass,95281,2006
Heidi Stephens,113775,1991
Sherman Meyer,114204,1981
Naomi Keller,148875,2000
Roberta Bennett,68733,1993
Madeline Ruiz,139948,1995
Andy Lambert,129465,1982
Marianne Tucker,35367,1977
Vanessa Webb,134022,1957
Gayle Mason,82136,2003
Christy Lopez,125122,2006
Merle Vargas,54036,1996
Lynn Neal,70068,1981
Jeff Cohen,88216,1988
Leslie Hayes,124001,1957
Anna Hicks,38931,2006
Teresa Mccarthy,122327,2012
Bernard Simon,130404,1987
Janis Briggs,38876,1990
Calvin Robbins,46865,2003
Darryl Gregory,149151,1957
Francisco Hernandez,130153,1983
Kate Andrews,69724,2002
Janice Holt,109305,1965
Sam Barrett,74371,1975
Helen Owen,59482,1969
Geneva Mckinney,133323,1973
Thelma Turner,60802,1984
Hattie Vasquez,53821,1972
Gloria Tyler,62682,1970
Morris Jacobs,140118,1957
Kathy Larson,51713,2007
Alexandra Owens,37551,1966
Jose Duncan,109774,1984
Alonzo Yates,78196,2005
Richard Nunez,58882,1991
Terry Poole,72793,1972
Earl Cummings,48146,1959
Joey Hoffman,50910,1968
Shelly Thompson,67422,2007
Joshua Mcguire,80835,2010
Jo Joseph,40966,2004
Elisa Mcdonald,99055,2001
Elsa Lowe,85709,1980
Sonja Logan,87182,2002
Melinda Richards,130953,2013
Felix Houston,102605,1982
Josefina Mills,76787,2010
Angel Klein,53773,2006
Steven Lee,74766,1963
Laura Price,61202,1967
Rolando Walsh,55013,2013
Beatrice Morris,56870,1986
Mona Roberts,57240,2003
Allen Ford,48103,2000
Courtney Coleman,149765,1991
Rufus Warner,138200,2006
Roland Park,149083,1984
Mario Walker,110353,2011
Ella Gomez,66061,1961
Leland Adams,149376,2005
Hugo Dennis,132683,1994
Clinton Pope,97692,1958
Scott Norton,76796,1971
Marty Boone,126795,2004
Allan Berry,84709,1967
Flora Little,139789,1957
Kristina Kim,128303,1972
Clarence Lucas,79821,2005
Karen Griffin,42831,1970
Jonathan Davis,146187,2003
Jermaine Gray,112910,1983
Ronnie Benson,135225,1964
Byron Gonzales,135604,1962
Jody Russell,57033,1991
Ora Perez,89301,2014
Manuel Guerrero,51573,2000
Cory Robinson,71882,1981
Lucille Bridges,42988,2000
Jason Hanson,60227,1985
Randall Hunt,104284,1955
Randolph Wheeler,37862,1966
Orville Ellis,43548,1970
Ann Welch,95997,2009
Patrick Wilkins,54907,1984
Ricardo Shelton,77377,1956
Clay Cox,149413,1993
Lydia Mccoy,121791,1959
Jerome Schwartz,109205,1969
Jeannie Dixon,98926,1993
Beth Bryant,120923,1989
Anita Roberson,111102,1982
Brett Barber,59293,2011
Mae Newton,59122,1975
Alton Bates,81324,1988
Lynda Swanson,41135,1993
Dana Sullivan,136309,1976
Dustin Caldwell,65187,2009
